universe,entity_id,entity_type,title,linked_titles,has_soundtrack_entity,spotify_album_id,spotify_album_id_source,spotify_playlist_id,spotify_playlist_id_source,youtube_playlist_id,youtube_playlist_id_source,youtube_per_track_count,youtube_per_track_total,youtube_override_present,last_known_issue,notes
bluenote,Elevator to the Gallows,film,Elevator to the Gallows,,no,,,,,,,,,TODO,,
bluenote,Blue Note Records,tv_show,Blue Note Records,,no,,,,,,,,,TODO,,
bluenote,Rudy Van Gelder,engineer,Rudy Van Gelder,88 albums engineered,no,,,,,,,,,TODO,,
bluenote,Andrew Hill,artist,Andrew Hill,,yes,647o8vl4OD1sjvvhql3jFS,bluenote-artist-albums.json,,,PLUJ7V33M1wR0HsYG3F_VGMso2liyvsJ7r,bluenote-artist-albums.json,87,87,TODO,,11 albums in artist-albums; 11 with Spotify IDs; 11 with YT playlists; 87/87 tracks with YT IDs; sonic: ARTIST
bluenote,Art Blakey,artist,Art Blakey,,yes,5PzlTnVafjgt5RtjTdIKoC,bluenote-artist-albums.json,,,PLMNMmvIC2uGYzD05aNB5I1E5Omz90fAcr,bluenote-artist-albums.json,108,118,TODO,,15 albums in artist-albums; 15 with Spotify IDs; 15 with YT playlists; 108/118 tracks with YT IDs; sonic: TRACK
bluenote,Bill Evans,artist,Bill Evans,,yes,7y2ddYBwV1It5KNemqqQFv,bluenote-artist-albums.json,,,PLbnJYtsl3xpiGnGIgOGzbnDaa2IUgpeRx,bluenote-artist-albums.json,112,120,TODO,,12 albums in artist-albums; 12 with Spotify IDs; 12 with YT playlists; 112/120 tracks with YT IDs; sonic: ARTIST
bluenote,Bobby Hutcherson,artist,Bobby Hutcherson,,yes,5142jRc6IrvsI7F6V7tUy2,bluenote-artist-albums.json,,,PLMAB89BlQ_blglYACG1S8aWr3wrQUg3Px,bluenote-artist-albums.json,67,67,TODO,,10 albums in artist-albums; 10 with Spotify IDs; 10 with YT playlists; 67/67 tracks with YT IDs; sonic: ARTIST
bluenote,Bud Powell,artist,Bud Powell,,yes,34ImPCHsrSFkXUSkFfYqdr,bluenote-artist-albums.json,,,PLAm8hhjjIDrR6nn87TMmXZYrtHR7eEUmM,bluenote-artist-albums.json,64,64,TODO,,6 albums in artist-albums; 6 with Spotify IDs; 6 with YT playlists; 64/64 tracks with YT IDs; sonic: ARTIST
bluenote,Cannonball Adderley,artist,Cannonball Adderley,,yes,3Wu0chxAm4GxSeRnIIf2Om,bluenote-artist-albums.json,,,PLTIb4fKCEAevQGcDKFIXdimOXsMK4uVNv,bluenote-artist-albums.json,65,65,TODO,,9 albums in artist-albums; 9 with Spotify IDs; 9 with YT playlists; 65/65 tracks with YT IDs; sonic: ARTIST
bluenote,Charles Mingus,artist,Charles Mingus,,yes,7pojWP7x9uEFSJgw765khA,bluenote-artist-albums.json,,,PLs9zwqXsceUiF7cDaywDwyUaH0oEhTwhO,bluenote-artist-albums.json,95,99,TODO,,12 albums in artist-albums; 12 with Spotify IDs; 12 with YT playlists; 95/99 tracks with YT IDs; sonic: ARTIST
bluenote,Charlie Parker,artist,Charlie Parker,,yes,7LVNnSl6UhjkLepWoPLqg1,bluenote-artist-albums.json,,,PLhiKgYVYHcxC8KRQS7qPSAKyZpQCApq3s,bluenote-artist-albums.json,184,321,TODO,,9 albums in artist-albums; 9 with Spotify IDs; 9 with YT playlists; 184/321 tracks with YT IDs; sonic: TRACK
bluenote,Clifford Brown,artist,Clifford Brown,,yes,3158RZskTkHMhPvQICUeQ1,bluenote-artist-albums.json,,,PLTLsNcUx1Q6lCh5_HGp8NmepNKfv4uJZK,bluenote-artist-albums.json,76,76,TODO,,7 albums in artist-albums; 7 with Spotify IDs; 7 with YT playlists; 76/76 tracks with YT IDs; sonic: ARTIST
bluenote,Dexter Gordon,artist,Dexter Gordon,,yes,5nEJj9bjoarnzlS88NiWet,bluenote-artist-albums.json,,,PLC7lO8dn3QxFjiG-5o1y4ewTs0ZdPjCrG,bluenote-artist-albums.json,65,65,TODO,,10 albums in artist-albums; 10 with Spotify IDs; 10 with YT playlists; 65/65 tracks with YT IDs; sonic: ARTIST
bluenote,Dizzy Gillespie,artist,Dizzy Gillespie,,yes,6uX5idggmNHPmH1FQmw1NN,bluenote-artist-albums.json,,,PLJsDyoE3PZSAt1cvujOlz4FWV__a-a9uh,bluenote-artist-albums.json,145,152,TODO,,10 albums in artist-albums; 10 with Spotify IDs; 10 with YT playlists; 145/152 tracks with YT IDs; sonic: ARTIST
bluenote,Donald Byrd,artist,Donald Byrd,,yes,3LG1c3DYgaEtCxea2z7ZSa,bluenote-artist-albums.json,,,OLAK5uy_ls7NqTV131-QihMQa-NcS1xSnlO58gsu4,bluenote-artist-albums.json,53,53,TODO,,9 albums in artist-albums; 9 with Spotify IDs; 9 with YT playlists; 53/53 tracks with YT IDs; sonic: ARTIST
bluenote,Duke Ellington,artist,Duke Ellington,,yes,0t41BkcZayaAsa0FdRelfz,bluenote-artist-albums.json,,,OLAK5uy_khMwPzNhOvs7HWPCbNpOEZf5UbraHc2W0,bluenote-artist-albums.json,215,262,TODO,,12 albums in artist-albums; 12 with Spotify IDs; 12 with YT playlists; 215/262 tracks with YT IDs; sonic: ARTIST
bluenote,Elvin Jones,artist,Elvin Jones,,yes,5JkyHalhn8Ml6KhwZBYfBp,bluenote-artist-albums.json,,,PLZGc_ONM98vBdWWLVFRGPEOv7aBsI4qcn,bluenote-artist-albums.json,62,62,TODO,,9 albums in artist-albums; 9 with Spotify IDs; 9 with YT playlists; 62/62 tracks with YT IDs; sonic: ARTIST
bluenote,Eric Dolphy,artist,Eric Dolphy,,yes,3PIVqZzL1PnrxFZDzuT1aX,bluenote-artist-albums.json,,,PLE59E566FD18327CA,bluenote-artist-albums.json,26,26,TODO,,4 albums in artist-albums; 4 with Spotify IDs; 4 with YT playlists; 26/26 tracks with YT IDs; sonic: ARTIST
bluenote,Freddie Hubbard,artist,Freddie Hubbard,,yes,4WF3FMkvyd8Ogh2Hz76C9v,bluenote-artist-albums.json,,,PLBJenJIJrq0z7hN8c9ILcdMSdTpZ47IDb,bluenote-artist-albums.json,80,80,TODO,,12 albums in artist-albums; 12 with Spotify IDs; 12 with YT playlists; 80/80 tracks with YT IDs; sonic: ARTIST
bluenote,Grant Green,artist,Grant Green,,yes,1RmoKOfLnMAafzhWRJCI8q,bluenote-artist-albums.json,,,PLzFqEh_mqdQDMNkeTkIgfI9BPq2hNmne4,bluenote-artist-albums.json,62,62,TODO,,10 albums in artist-albums; 10 with Spotify IDs; 10 with YT playlists; 62/62 tracks with YT IDs; sonic: ARTIST
bluenote,Hank Mobley,artist,Hank Mobley,,yes,731OW49heGHCMrMOREHYlY,bluenote-artist-albums.json,,,PLg7mJ3BwdABJB42JDMr1ueIe8viY5FgC8,bluenote-artist-albums.json,60,60,TODO,,10 albums in artist-albums; 10 with Spotify IDs; 10 with YT playlists; 60/60 tracks with YT IDs; sonic: ARTIST
bluenote,Herbie Hancock,artist,Herbie Hancock,,yes,7huPJTTsWVt854oZkr88mf,bluenote-artist-albums.json,,,OLAK5uy_leRUjc1FeLNRL56q2jzPACZWlnNLkU8Xw,bluenote-artist-albums.json,107,107,TODO,,15 albums in artist-albums; 15 with Spotify IDs; 15 with YT playlists; 107/107 tracks with YT IDs; sonic: TRACK
bluenote,Horace Silver,artist,Horace Silver,,yes,4LEnATSqKeANOJ0mLUAuCE,bluenote-artist-albums.json,,,OLAK5uy_maEHDCvs9peIT7Q_zHyBbUvs8i0bYvqX0,bluenote-artist-albums.json,114,114,TODO,,15 albums in artist-albums; 15 with Spotify IDs; 15 with YT playlists; 114/114 tracks with YT IDs; sonic: ARTIST
bluenote,Jackie McLean,artist,Jackie McLean,,yes,7cDdrBZaImUjYGqkir7bVw,bluenote-artist-albums.json,,,PLb_GPRyrUSsXYsIubAI3TPxjw91DkFaan,bluenote-artist-albums.json,51,51,TODO,,9 albums in artist-albums; 9 with Spotify IDs; 9 with YT playlists; 51/51 tracks with YT IDs; sonic: ARTIST
bluenote,Jimmy Smith,artist,Jimmy Smith,,yes,6foGf3FKwBRFWQfpYSYz4O,bluenote-artist-albums.json,,,PL9nLSMROUv4kGcK-aGTB793ttfA8dgelJ,bluenote-artist-albums.json,73,73,TODO,,10 albums in artist-albums; 10 with Spotify IDs; 10 with YT playlists; 73/73 tracks with YT IDs; sonic: ARTIST
bluenote,Joe Henderson,artist,Joe Henderson,,yes,7mQGTuvmdp56DNz0AmMwWi,bluenote-artist-albums.json,,,PLUJ7V33M1wR0it7Ko4hNWOj6Wb6hDVRTB,bluenote-artist-albums.json,72,72,TODO,,10 albums in artist-albums; 10 with Spotify IDs; 10 with YT playlists; 72/72 tracks with YT IDs; sonic: ARTIST
bluenote,John Coltrane,artist,John Coltrane,,yes,2Z11cXWEa2qqYQBGkJrCga,bluenote-artist-albums.json,,,PLKZWLu6q09LN0kEPS7OkuCoNfnWdDqqRM,bluenote-artist-albums.json,72,72,TODO,,"14 albums in artist-albums; 14 with Spotify IDs; 14 with YT playlists; 72/72 tracks with YT IDs; sonic: OST,TRACK"
bluenote,Kenny Burrell,artist,Kenny Burrell,,yes,0hMuKAciHKinu4L3R4Ojjl,bluenote-artist-albums.json,,,PLSTZCafn5OqrScxlLKFe0EyNKZqUf7c8Q,bluenote-artist-albums.json,83,89,TODO,,8 albums in artist-albums; 8 with Spotify IDs; 8 with YT playlists; 83/89 tracks with YT IDs; sonic: ARTIST
bluenote,Lee Morgan,artist,Lee Morgan,,yes,1n1trPeeY9Q5H4eLbbHHRg,bluenote-artist-albums.json,,,PLMAB89BlQ_bnEB1BGBLghkty30mWcZtkv,bluenote-artist-albums.json,80,80,TODO,,12 albums in artist-albums; 12 with Spotify IDs; 12 with YT playlists; 80/80 tracks with YT IDs; sonic: ARTIST
bluenote,Max Roach,artist,Max Roach,,yes,4gEIEXedj8RnSul4T46Ucd,bluenote-artist-albums.json,,,OLAK5uy_mIh7OrFqfjA1yHYdvVLFSREeQPzztNRIU,bluenote-artist-albums.json,49,49,TODO,,8 albums in artist-albums; 8 with Spotify IDs; 8 with YT playlists; 49/49 tracks with YT IDs; sonic: ARTIST
bluenote,McCoy Tyner,artist,McCoy Tyner,,yes,22HoIP0ai6Wikh4R8yM0AX,bluenote-artist-albums.json,,,PL4uSMmnYvnbJ3tg3EQuZdE6d3Nwb63SKz,bluenote-artist-albums.json,73,73,TODO,,11 albums in artist-albums; 11 with Spotify IDs; 11 with YT playlists; 73/73 tracks with YT IDs; sonic: ARTIST
bluenote,Miles Davis,artist,Miles Davis,,yes,1weenld61qoidwYuZ1GESA,bluenote-artist-albums.json,,,PLrhkpF1bKMG_D2sxTpxG63WGmIxYGB-Jt,bluenote-artist-albums.json,162,175,TODO,,16 albums in artist-albums; 16 with Spotify IDs; 16 with YT playlists; 162/175 tracks with YT IDs; sonic: TRACK
bluenote,Norah Jones,artist,Norah Jones,,yes,3ArSFkv4OQOosOvYTrZNIl,bluenote-artist-albums.json,,,OLAK5uy_nXfC3wibt4VAQKIoswfO3tYjSeOPcciaQ,bluenote-artist-albums.json,111,143,TODO,,9 albums in artist-albums; 9 with Spotify IDs; 9 with YT playlists; 111/143 tracks with YT IDs; sonic: ARTIST
bluenote,Paul Chambers,artist,Paul Chambers,,yes,4wKkVSHqJDGjSAOfULYoZf,bluenote-artist-albums.json,,,OLAK5uy_mVv-2ztBmPk52JYaPc0M_NQXzm69kAByc,bluenote-artist-albums.json,32,32,TODO,,5 albums in artist-albums; 5 with Spotify IDs; 5 with YT playlists; 32/32 tracks with YT IDs; sonic: ARTIST
bluenote,Ron Carter,artist,Ron Carter,,yes,1bkTXNpG1x3bMpGpfhvouR,bluenote-artist-albums.json,,,PLng2lpXRTGI0vD7WCXzHNeEdghMovW0JS,bluenote-artist-albums.json,61,61,TODO,,10 albums in artist-albums; 10 with Spotify IDs; 10 with YT playlists; 61/61 tracks with YT IDs; sonic: ARTIST
bluenote,Sonny Rollins,artist,Sonny Rollins,,yes,2dtjLAwt7Cq763h6AupyPZ,bluenote-artist-albums.json,,,PLiHzq-TzyMjODQIrgwdGBgvN39LuzoC7e,bluenote-artist-albums.json,84,87,TODO,,11 albums in artist-albums; 11 with Spotify IDs; 11 with YT playlists; 84/87 tracks with YT IDs; sonic: ARTIST
bluenote,Thelonious Monk,artist,Thelonious Monk,,yes,5gWF47eGSbv4BOfxoFcQtd,bluenote-artist-albums.json,,,PLs9zwqXsceUjhNRxJXuljXqJlEoDvJV8E,bluenote-artist-albums.json,147,167,TODO,,15 albums in artist-albums; 15 with Spotify IDs; 15 with YT playlists; 147/167 tracks with YT IDs; sonic: TRACK
bluenote,Tony Williams,artist,Tony Williams,,yes,6BWSXyptptsZmLlj3n8lDD,bluenote-artist-albums.json,,,PLXfSsRuFtVovNAJ8pkz3vGvcU77KtZVwA,bluenote-artist-albums.json,70,70,TODO,,8 albums in artist-albums; 8 with Spotify IDs; 8 with YT playlists; 70/70 tracks with YT IDs; sonic: ARTIST
bluenote,Wayne Shorter,artist,Wayne Shorter,,yes,27Rl7A8jXEQOkIfUKOa6ZU,bluenote-artist-albums.json,,,PLI6kLIhBBwmS-4V3eXafCiZOGiDILDYja,bluenote-artist-albums.json,107,107,TODO,,14 albums in artist-albums; 14 with Spotify IDs; 14 with YT playlists; 107/107 tracks with YT IDs; sonic: TRACK
gerwig,Barbie,film,Barbie,,no,,,,,,,,,TODO,,
gerwig,Lady Bird,film,Lady Bird,,no,,,,,,,,,TODO,,
gerwig,Little Women,film,Little Women,,no,,,,,,,,,TODO,,
gerwig,Alexandre Desplat,composer,Alexandre Desplat,Little Women (Original Motion Picture Soundtrack),yes,6s9twOs9wMKOEluU5dkBE0,gerwig-artist-albums.json,,,PLkv-ZDBhPhZ1V9Mh6bUct18xw01X7_5Co,gerwig-artist-albums.json,226,226,TODO,,11 albums in artist-albums; 11 with Spotify IDs; 11 with YT playlists; 226/226 tracks with YT IDs
gerwig,Jon Brion,composer,Jon Brion,"Synecdoche, New York (Original Motion Picture Soundtrack); Lady Bird (Original Motion Picture Soundtrack)",yes,6jdfKgPpi6wchdjDSkH74h,gerwig-artist-albums.json,,,OLAK5uy_lBpG_I2on3UlKslW8oZUEpLsnzmikkvHs,gerwig-artist-albums.json,74,97,TODO,,6 albums in artist-albums; 6 with Spotify IDs; 5 with YT playlists; 74/97 tracks with YT IDs
gerwig,Mark Ronson,composer,Mark Ronson,Barbie (Score from the Original Motion Picture Soundtrack),yes,62Qu5QoNx3De0p5qQT0u7o,gerwig-artist-albums.json,,,PLoM8BK906_HXh6FY4sm5dhfs6J5lfyMQu,gerwig-artist-albums.json,106,106,TODO,,7 albums in artist-albums; 7 with Spotify IDs; 7 with YT playlists; 106/106 tracks with YT IDs
